Id_venta,fecha_venta,id_producto,id_pais,unidades
1,2023-07-24,25,TJ,17
2,2022-09-23,7,IQ,5
3,2023-08-19,11,CY,17
4,2022-07-18,31,AZ,10
5,2023-10-28,6,OM,1
6,2022-12-03,23,TJ,1
7,2023-03-11,31,IR,3
8,2023-03-18,7,BD,18
9,2022-10-27,16,TH,13
10,2024-04-10,56,PH,3
11,2024-03-20,23,TM,1
12,2023-07-22,1,KP,1
13,2022-10-01,14,YE,4
14,2024-12-12,38,TH,20
15,2024-01-12,5,KG,2
16,2023-04-01,27,IR,5
17,2023-03-17,7,MY,13
18,2023-01-27,32,SA,5
19,2023-02-22,40,CY,4
20,2022-09-21,26,MV,19
21,2024-03-31,54,AZ,17
22,2024-07-06,35,BT,3
23,2023-03-04,38,LK,1
24,2024-12-07,28,AE,3
25,2022-05-04,53,JP,14
26,2024-04-25,46,BD,2
27,2023-05-04,14,MM,16
28,2022-05-13,57,KG,14
29,2024-08-21,42,MY,13
30,2024-07-16,54,SA,11
31,2022-07-30,35,MY,17
32,2024-12-13,50,QA,15
33,2022-04-29,37,VN,8
34,2023-08-25,19,TJ,15
35,2022-04-03,65,TR,3
36,2022-04-07,41,IR,15
37,2024-07-19,6,AM,13
38,2022-01-01,56,TH,5
39,2023-02-13,18,PH,4
40,2024-03-20,29,KP,17
41,2023-06-08,23,LK,17
42,2023-09-08,15,BH,16
43,2024-04-17,38,BH,1
44,2023-11-27,23,AF,4
45,2024-08-28,65,SA,6
46,2023-07-13,56,KH,2
47,2022-07-07,42,MM,16
48,2024-07-16,28,ID,3
49,2024-08-16,22,SY,3
50,2023-01-19,9,QA,16
51,2024-12-19,6,IR,2
52,2024-08-04,46,AF,15
53,2022-03-09,23,IR,5
54,2023-05-12,25,BD,3
55,2023-06-10,47,TR,4
56,2022-11-25,48,KZ,1
57,2023-08-12,34,KH,4
58,2023-06-21,6,TM,1
59,2023-10-29,32,TM,16
60,2023-08-04,55,IL,2
61,2022-04-12,49,BH,4
62,2022-02-13,58,CY,3
63,2022-10-09,63,KH,17
64,2024-12-09,47,KR,17
65,2024-02-03,36,MV,15
66,2024-01-29,1,KG,2
67,2023-05-05,47,YE,15
68,2024-02-11,29,OM,18
69,2024-12-25,10,PH,12
70,2023-09-27,52,JO,12
71,2023-01-28,51,AE,5
72,2022-03-31,10,KW,16
73,2023-05-11,58,JP,5
74,2024-04-30,59,NP,16
75,2023-10-14,4,LB,15
76,2023-09-15,56,KZ,5
77,2023-05-27,5,IN,4
78,2022-10-22,12,CN,4
79,2024-04-14,24,KR,4
80,2024-09-20,22,QA,1
81,2022-03-07,61,AM,1
82,2023-03-18,2,KZ,1
83,2024-07-02,22,KZ,19
84,2024-03-02,1,IN,5
85,2023-10-10,14,UZ,20
86,2024-09-06,34,BN,15
87,2023-11-06,62,AE,2
88,2024-12-14,56,VN,5
89,2023-07-24,38,AF,2
90,2023-04-16,28,IR,16
91,2023-08-10,44,TJ,16
92,2024-01-08,37,SA,4
93,2024-10-11,33,KZ,5
94,2024-09-20,49,OM,6
95,2024-07-11,55,TJ,4
96,2024-05-30,53,SY,2
97,2022-07-10,7,MY,15
98,2022-09-29,54,AE,15
99,2023-09-20,44,MV,4
100,2024-09-22,44,NP,17
101,2024-03-01,40,AM,17
102,2022-08-15,14,SA,14
103,2024-04-17,52,LK,2
104,2024-12-19,11,LK,9
105,2022-01-13,39,AE,4
106,2023-07-14,53,ID,4
107,2023-10-29,55,IL,2
108,2024-07-10,51,AM,14
109,2024-05-07,4,ID,3
110,2023-01-05,8,IL,1
111,2024-10-15,64,KW,1
112,2022-06-20,29,QA,13
113,2022-01-14,60,OM,4
114,2022-11-26,8,QA,13
115,2023-06-23,14,LK,14
116,2023-12-02,37,GE,1
117,2023-05-09,34,PH,14
118,2023-01-08,65,PH,15
119,2022-07-20,4,TR,5
120,2024-12-05,27,PH,3
121,2024-01-12,62,TJ,17
122,2024-10-12,20,KP,1
123,2024-07-01,58,MV,13
124,2022-11-18,58,AZ,13
125,2022-09-17,47,BT,17
126,2022-05-24,36,KH,13
127,2022-01-30,65,BN,17
128,2022-10-02,41,MN,15
129,2023-08-01,29,CN,3
130,2024-12-06,53,CN,2
131,2023-08-28,26,BD,3
132,2023-01-25,5,TM,2
133,2023-07-25,60,KR,14
134,2024-10-01,0,YE,13
135,2023-09-04,46,KR,15
136,2022-08-29,44,MN,15
137,2024-01-16,19,AE,13
138,2022-12-10,16,MN,17
139,2023-01-14,26,SG,16
140,2024-05-09,34,GE,14
141,2024-03-16,15,YE,5
142,2022-03-03,32,UZ,7
143,2024-09-22,28,AZ,1
144,2023-10-05,32,YE,17
145,2023-09-23,46,JO,9
146,2024-03-20,57,TJ,1
147,2022-04-15,36,KW,12
148,2024-06-22,56,KR,4
149,2023-11-10,11,LB,6
150,2022-07-06,36,AZ,15
151,2024-06-02,10,AE,2
152,2023-06-17,26,TJ,4
153,2024-01-07,30,UZ,1
154,2022-10-27,12,MY,19
155,2023-07-18,7,CY,3
156,2023-01-06,52,PK,2
157,2023-11-25,44,SA,12
158,2022-11-21,8,KG,1
159,2023-11-07,45,AE,4
160,2024-06-17,17,KG,4
