Id_venta,fecha_venta,id_producto,id_pais,unidades
1,2024-08-29,15,SG,14
2,2023-07-24,20,CH,17
3,2022-09-23,58,MM,5
4,2023-08-19,0,JP,17
5,2022-07-18,0,JP,10
6,2023-10-28,20,SY,1
7,2022-03-24,0,IR,1
8,2022-12-03,32,JP,1
9,2023-03-11,20,JP,3
10,2023-03-18,20,MN,18
11,2022-10-27,0,AR,13
12,2024-04-10,0,IR,3
13,2024-03-20,6,JP,1
14,2023-07-22,18,JP,1
15,2022-10-01,57,SA,4
16,2024-12-12,62,MK,20
17,2024-01-12,20,YE,2
18,2023-04-01,0,JP,5
19,2023-03-17,59,YE,13
20,2023-01-27,32,TV,5
21,2023-02-22,64,JP,4
22,2022-09-21,14,BA,19
23,2024-03-31,59,CN,17
24,2024-07-06,32,SV,3
25,2023-03-04,59,JP,1
26,2024-12-07,64,JP,3
27,2022-05-04,57,LA,14
28,2024-04-25,32,JP,2
29,2023-05-04,0,GT,16
30,2022-05-13,64,GE,14
31,2024-08-21,20,FJ,13
32,2024-07-16,64,JP,11
33,2022-07-30,14,AS,17
34,2024-12-13,32,AZ,15
35,2022-04-29,0,NP,8
36,2023-08-25,20,AZ,15
37,2022-04-03,0,JP,3
38,2022-04-07,64,LB,15
39,2024-07-19,0,JP,13
40,2022-01-01,64,JP,5
41,2023-02-13,59,PK,4
42,2024-03-20,65,AZ,17
43,2023-06-08,58,JP,17
44,2023-09-08,59,CR,16
45,2024-04-17,64,EC,1
46,2023-06-20,59,UY,2
47,2023-11-27,64,PH,4
48,2024-08-28,0,LB,6
49,2023-07-13,0,LU,2
50,2022-07-07,0,OM,16
51,2024-07-16,60,JP,3
52,2024-08-16,57,JP,3
53,2023-01-19,57,IQ,16
54,2024-12-19,0,IL,2
55,2024-08-04,20,JP,15
56,2022-03-09,32,CY,5
57,2023-05-12,64,TL,3
58,2024-03-23,55,KR,3
59,2023-07-11,59,JP,3
60,2023-06-10,0,JP,4
61,2022-11-25,57,JP,1
62,2023-08-12,0,JP,4
63,2023-06-21,20,AT,1
64,2023-10-29,0,JP,16
65,2023-08-04,20,IL,2
66,2024-01-01,64,JP,16
67,2022-04-12,4,MX,4
68,2022-02-13,0,JP,3
69,2022-10-09,58,LK,17
70,2024-12-09,39,SA,17
71,2024-02-03,32,TL,15
72,2024-01-29,0,SY,2
73,2023-05-05,64,HR,15
74,2024-02-11,0,CA,18
75,2024-12-25,32,PH,12
76,2023-09-27,40,JP,12
77,2023-01-28,20,SR,5
78,2022-03-31,58,JP,16
79,2022-11-27,59,CR,14
80,2023-05-11,59,JP,5
81,2024-04-30,59,SG,16
82,2023-10-14,58,JP,15
83,2023-09-15,42,JO,5
84,2023-05-27,25,US,4
85,2022-10-22,58,ID,4
86,2024-04-14,59,JP,4
87,2024-09-20,0,BD,1
88,2022-03-07,20,KR,1
89,2023-03-18,0,JO,1
90,2024-07-02,59,CN,19
91,2024-03-02,6,NP,5
92,2023-10-10,28,CO,20
93,2024-09-06,20,LK,15
94,2024-12-03,59,TM,3
95,2023-11-06,32,CY,2
96,2024-12-14,55,JP,5
97,2023-07-24,59,GY,2
98,2023-04-20,20,JP,13
99,2023-04-16,14,NZ,16
100,2023-08-10,59,US,16
101,2024-01-08,20,JP,4
102,2024-10-11,0,JP,5
103,2022-07-27,59,MY,14
104,2024-06-15,14,IS,15
105,2024-09-20,18,LB,6
106,2024-07-11,0,JP,4
107,2024-05-30,32,PK,2
108,2022-07-10,32,CN,15
109,2022-09-29,14,IN,15
110,2023-09-20,58,IN,4
111,2024-09-22,57,PH,17
112,2024-03-01,6,IQ,17
113,2022-08-15,57,US,14
114,2024-04-17,59,MN,2
115,2024-12-19,6,JP,9
116,2023-05-14,39,PH,17
117,2022-01-13,59,KW,4
118,2024-10-20,0,AE,5
119,2023-07-14,58,JP,4
120,2023-10-29,64,IQ,2
121,2024-07-10,14,JP,14
122,2024-05-07,28,JP,3
123,2023-01-05,64,MV,1
124,2024-10-15,57,JP,1
125,2022-06-20,64,YE,13
126,2022-12-01,14,TM,7
127,2022-01-14,0,TJ,4
128,2022-11-26,20,PH,13
129,2023-06-23,45,FJ,14
130,2023-12-02,20,GL,1
131,2023-05-09,0,KH,14
132,2023-01-08,20,TJ,15
133,2024-07-19,64,CN,15
134,2022-07-20,0,SI,5
135,2024-12-05,20,JP,3
136,2024-01-12,59,JP,17
137,2024-10-12,0,MM,1
138,2024-07-01,14,JP,13
139,2022-11-18,57,JP,13
140,2022-09-17,57,KH,17
141,2022-02-27,35,JP,14
142,2022-05-24,14,JP,13
143,2022-01-30,59,CN,17
144,2022-10-02,64,JP,15
145,2023-08-01,14,AM,3
146,2024-12-06,55,JP,2
147,2023-08-28,14,US,3
148,2023-01-25,59,JP,2
149,2023-07-25,59,JP,14
150,2024-10-01,58,PH,13
151,2023-09-04,59,PK,15
152,2022-08-29,32,JP,15
153,2024-01-16,0,CR,13
154,2022-12-10,58,TR,17
155,2023-01-14,33,BH,16
156,2024-05-09,20,JP,14
157,2024-03-16,59,JP,5
158,2022-03-03,20,AZ,7
159,2024-09-22,7,JP,1
160,2023-10-05,32,JP,17
161,2023-09-23,0,JP,9
162,2024-03-20,32,VN,1
163,2022-04-15,34,BR,12
164,2024-06-22,20,LB,4
165,2023-11-10,0,MM,6
166,2022-07-06,32,MY,15
167,2024-06-02,20,LB,2
168,2023-06-17,14,AM,4
169,2024-01-07,19,NI,1
170,2022-10-27,0,MY,19
171,2023-07-18,0,TO,3
172,2023-01-06,64,SG,2
173,2023-11-25,64,SA,12
174,2022-11-21,32,NP,1
175,2023-11-07,14,PG,4
176,2024-06-17,0,QA,4
177,2022-09-01,6,CN,5
178,2024-06-14,57,BH,8
179,2022-03-25,6,JP,16
180,2023-12-04,59,JP,18
181,2023-04-25,0,CN,15
182,2023-05-22,32,JP,3
183,2024-03-19,57,JP,1
184,2024-12-22,38,JP,14
185,2024-03-09,14,MN,2
186,2024-07-14,20,BD,1
187,2022-04-02,20,WS,5
188,2024-02-03,0,MN,5
189,2024-06-28,0,JP,3
190,2022-02-17,0,BN,2
191,2024-11-27,0,JP,1
192,2024-07-15,58,HU,4
193,2023-05-13,57,SB,14
194,2022-02-08,64,BH,7
195,2022-02-03,59,BH,17
196,2022-10-20,6,IL,2
197,2024-07-27,32,KP,16
198,2024-12-29,20,US,7
199,2022-11-29,59,JP,15
200,2022-07-20,20,JP,2
201,2024-08-20,20,KG,7
202,2024-08-26,32,JP,14
203,2024-03-23,20,PH,5
204,2024-01-08,20,JP,15
205,2022-11-25,20,OM,4
206,2024-04-03,47,TJ,2
207,2022-11-12,0,OM,5
208,2024-08-04,0,US,3
209,2022-04-12,64,US,3
210,2024-05-29,20,JP,4
211,2023-06-16,20,BD,3
212,2024-06-06,12,UZ,17
213,2024-10-15,12,KG,14
214,2023-10-21,59,LK,15
215,2022-07-27,13,LK,16
216,2023-06-22,32,JP,1
217,2022-12-08,14,JP,13
218,2023-10-15,32,KW,5
219,2022-07-26,59,FM,1
220,2024-08-23,20,TH,2
221,2022-06-28,20,JP,17
222,2023-05-22,0,UY,16
223,2022-06-24,20,LA,5
224,2023-03-06,61,IN,4
225,2023-07-12,0,BH,8
226,2022-03-23,20,KR,16
227,2022-12-01,20,US,3
228,2023-08-13,59,TR,16
229,2023-07-03,32,UZ,1
230,2022-09-03,6,BH,15
231,2024-05-17,58,LA,5
