id_nuevo,nombreProducto,escala,grado,precioUSD,peso
0,Gundam Barbatos,1/144,1,13.0,0.18880733944954129
1,Graze (Std/Commander),1/144,1,13.0,0.0022935779816513763
2,Schwalbe Graze (McGillis),1/144,1,15.0,0.0022935779816513763
3,Graze Kai,1/144,1,16.95,0.0022935779816513763
4,Hyakuri,1/144,1,12.95,0.0022935779816513763
5,Hyakuren (Amida),1/144,1,12.95,0.0022935779816513763
6,Gundam Barbatos & Booster,1/144,1,17.95,0.03880733944954129
7,Amida's Hyakuren,1/144,1,12.95,0.0022935779816513763
8,Man Rodi,1/144,1,12.95,0.0022935779816513763
9,Gundam Gusion,1/144,1,15.95,0.0022935779816513763
10,Gundam Kimaris,1/144,1,16.95,0.0022935779816513763
11,Ryusei-Go (Graze Kai II),1/144,1,16.95,0.0022935779816513763
12,Gundam Gusion Rebake,1/144,1,16.95,0.0022935779816513763
13,Grimgerde,1/144,1,16.95,0.0022935779816513763
14,Gundam Barbatos 6th Form,1/144,1,17.0,0.06880733944954129
15,Gundam Kimaris Trooper,1/144,1,18.95,0.0022935779816513763
16,Graze Ritter (Carta),1/144,1,18.95,0.0022935779816513763
17,Graze Ein,1/144,1,18.95,0.0022935779816513763
18,Gundam Astaroth,1/144,1,14.95,0.0022935779816513763
19,Gundam Astaroth Origin,1/144,1,18.95,0.0022935779816513763
20,Gundam Barbatos Lupus,1/144,1,14.95,0.13174311926605505
21,Hugo,1/144,1,18.95,0.0022935779816513763
22,Gusion Rebake Full City,1/144,1,15.0,0.0022935779816513763
23,Julieta's Reginlaze,1/144,1,16.95,0.0022935779816513763
24,Geirail,1/144,1,14.95,0.0022935779816513763
25,IO Frame Shiden,1/144,1,12.95,0.0022935779816513763
26,Gundam Vidar,1/144,1,15.0,0.0022935779816513763
27,Gundam Flauros (Ryusei-Go),1/144,1,18.95,0.0022935779816513763
28,Mobile Armor Hashmal,1/144,1,54.95,0.0122935779816513763
29,Hekija,1/144,1,14.95,0.0022935779816513763
30,Helmwige Reincar,1/144,1,16.95,0.0022935779816513763
31,Rouei,1/144,1,16.95,0.0022935779816513763
32,Gundam Barbatos Lupus Rex,1/144,1,17.0,0.11467889908256881
33,Reginlaze Julia,1/144,1,16.95,0.0022935779816513763
34,Kimaris Vidar,1/144,1,18.95,0.0072935779816513763
35,Gundam Bael,1/144,1,20.95,0.0072935779816513763
36,Gundam Vual,1/144,1,18.95,0.0022935779816513763
37,Gundam Dantalion,1/144,1,18.95,0.0022935779816513763
38,Astaroth Rinascimento,1/144,1,18.95,0.0022935779816513763
39,Gundam Marchosias,1/144,1,27.0,0.0022935779816513763
40,Gundam Hajiroboshi,1/144,1,15.0,0.0022935779816513763
41,Gundam Gremory,1/144,1,23.0,0.0022935779816513763
42,Gundam Asmoday,1/144,1,25.0,0.0022935779816513763
43,Schwalbe Custom (Cyclase),1/144,1,16.0,0.0022935779816513763
44,Sigrún,1/144,1,16.0,0.0022935779816513763
45,MS Option Set 1 & Worker,1/144,7,10.0,0.0022935779816513763
46,MS Option Set 2 & Worker,1/144,7,10.0,0.0022935779816513763
47,MS Option Set 3 & Worker,1/144,7,10.0,0.0022935779816513763
48,MS Option Set 4 & Worker,1/144,7,10.0,0.0022935779816513763
49,MS Option Set 5 & Worker,1/144,7,10.0,0.0022935779816513763
50,MS Option Set 6 & Worker,1/144,7,10.0,0.0022935779816513763
51,MS Option Set 7,1/144,7,10.0,0.0022935779816513763
52,MS Option Set 8 & Worker,1/144,7,10.0,0.0022935779816513763
53,MS Option Set 9,1/144,7,10.0,0.0022935779816513763
54,Gundam Gusion Rebake FC Expansion,1/144,5,6.2,0.0022935779816513763
55,Gundam Barbatos Lupus Rex Expansion,1/144,5,6.2,0.00467889908256881
56,Flauros/Ryusei-Go Expansion,1/144,5,6.2,0.0022935779816513763
57,Gundam Barbatos 6th Form,1/100,6,28.0,0.06880733944954129
58,Gundam Barbatos Lupus,1/100,6,30.0,0.05174311926605505
59,Gundam Barbatos Lupus Rex,1/100,6,32.0,0.11467889908256881
60,Gundam Vidar,1/100,6,32.0,0.0022935779816513763
61,Gundam Bael,1/100,6,34.0,0.0022935779816513763
62,Gundam Gusion Rebake Full City,1/100,6,33.0,0.0022935779816513763
63,Gundam Flauros (Ryusei-Go),1/100,6,30.0,0.0022935779816513763
64,Gundam Barbatos,1/100,3,55.0,0.06880733944954129
65,Gundam Vidar,1/100,3,67.0,0.0022935779816513763
